,Depth,Resistivity,Gamma Ray,Total Porosity,Effective Porosity,Bulk Density,Compression Wave Travel Time,Shear Wave Travel Time
1440,7525.0,290.11319,214.24234,0.11837,0.10345,2.50034,86.24191,140.14552
1441,7525.5,364.85455,224.39148,0.10998,0.09385,2.51115,86.3353,140.5273
1442,7526.0,390.45215,227.20151,0.08352,0.06716,2.54665,86.28123,140.68117
1443,7526.5,292.62262,221.14275,0.04783,0.03147,2.61919,85.71926,140.06129
1444,7527.0,193.92632,205.74678,0.02591,0.00894,2.71724,84.56849,138.46646
1445,7527.5,247.73409,189.27216,0.0222,0.00358,2.78817,83.05948,136.20851
1446,7528.0,325.93127,175.94106,0.02392,0.00378,2.81365,81.54328,133.52412
1447,7528.5,373.85489,169.93973,0.02769,0.00703,2.79261,80.25713,130.81529
1448,7529.0,375.53842,171.63261,0.04023,0.0199,2.74598,79.53693,128.72029
1449,7529.5,320.63199,179.33032,0.06122,0.0406,2.67454,79.48254,127.8179
1450,7530.0,382.53946,190.96753,0.07458,0.05288,2.60669,80.01508,128.94179
1451,7530.5,415.7453,205.95413,0.07557,0.05256,2.57189,81.27863,131.61087
1452,7531.0,371.08777,221.35178,0.07753,0.0538,2.56354,83.32114,135.084
1453,7531.5,326.82629,236.23511,0.08506,0.06027,2.54797,85.43552,138.32962
1454,7532.0,309.76178,248.49785,0.09109,0.06492,2.52319,86.98605,140.9012
1455,7532.5,261.2742,260.09213,0.0923,0.06522,2.50585,87.66086,142.92043
1456,7533.0,261.6864,268.26712,0.09593,0.06838,2.50612,87.56739,143.83479
1457,7533.5,277.13889,275.27954,0.10373,0.07617,2.5148,87.27052,143.94324
1458,7534.0,253.32523,290.30704,0.10918,0.08281,2.52209,87.36874,143.98987
1459,7534.5,257.15045,320.90268,0.10705,0.08333,2.52447,88.06809,144.55367
1460,7535.0,322.22137,355.8201,0.10413,0.08417,2.52409,89.04786,145.45839
1461,7535.5,340.52649,374.12756,0.09691,0.08029,2.5246,89.57445,146.08078
1462,7536.0,368.39099,365.34375,0.08526,0.07173,2.52964,89.12529,146.40698
1463,7536.5,346.87433,348.54761,0.0782,0.06762,2.5321,88.16862,145.97122
1464,7537.0,161.23531,353.27393,0.08082,0.07328,2.53565,87.51765,144.23387
1465,7537.5,234.4088,373.52679,0.08856,0.08341,2.53594,86.77422,141.03043
1466,7538.0,405.45349,370.98853,0.08944,0.08582,2.54391,84.16029,137.54016
1467,7538.5,1212.07397,320.52637,0.08107,0.07812,2.56147,79.3502,135.08603
1468,7539.0,2562.10425,269.22769,0.07305,0.06994,2.57124,75.15755,134.43578
1469,7539.5,2112.32373,271.9902,0.07971,0.07591,2.55278,75.05826,135.66605
1470,7540.0,898.54321,323.49512,0.09521,0.09059,2.50828,79.76017,138.57932
1471,7540.5,869.45453,367.758,0.09523,0.09021,2.47955,85.58559,142.89198
1472,7541.0,959.72998,373.41986,0.0673,0.06131,2.51052,89.3716,147.55357
1473,7541.5,899.50989,369.401,0.03377,0.02543,2.60205,90.43336,150.98334
